Account	 Net Debit 	 Net Credit 	 Net Figures 	Part	Head	Sub-Head	Notes to Accounts	Major Head
Freight Inward-WH Bangalore	 2,008,882.00 	 -   	 2,008,882.00 	Profit and Loss Account	Expenses	Cost Of Materials Consumed	Freight Inward	Expenses
Freight Inward-WH Muzaffarnagar	 756,145.80 	 -   	 756,145.80 	Profit and Loss Account	Expenses	Cost Of Materials Consumed	Freight Inward	Expenses
Freight Inward-WH Noida	 440,524.00 	 -   	 440,524.00 	Profit and Loss Account	Expenses	Cost Of Materials Consumed	Freight Inward	Expenses
Freight Outward-WH Bangalore	 3,926,836.42 	 -   	 3,926,836.42 	Profit and Loss Account	Expenses	Other Expenses	Freight Outward	Expenses
Freight Outward-WH Muzaffarnagar	 657,590.00 	 -   	 657,590.00 	Profit and Loss Account	Expenses	Other Expenses	Freight Outward	Expenses
Freight Outward-WH Noida	 695,812.00 	 -   	 695,812.00 	Profit and Loss Account	Expenses	Other Expenses	Freight Outward	Expenses
Inauguration Exp	 263,287.00 	 -   	 263,287.00 	Profit and Loss Account	Expenses	Other Expenses	Inauguration Exp	Expenses
Interest Exp	 13,632,855.00 	 -   	 13,632,855.00 	Profit and Loss Account	Expenses	Finance Cost	Interest Expenses	Expenses
Interest on Income Tax	 343,602.78 	 -   	 343,602.78 	Profit and Loss Account	Expenses	Other Expenses	Interest on Statutory dues	Expenses
Interest On TDS	 21,593.00 	 -   	 21,593.00 	Profit and Loss Account	Expenses	Other Expenses	Interest on Statutory dues	Expenses
Internal Line Distribution Charges	 31,200.00 	 -   	 31,200.00 	Profit and Loss Account	Expenses	Other Expenses	Office Running & Maintainance Epenses	Expenses
IT and Internet Expenses	 129,511.93 	 -   	 129,511.93 	Profit and Loss Account	Expenses	Other Expenses	IT & Telecommunicaiton Expenses	Expenses
Commision-Jio Mart	 1,720.47 	 -   	 1,720.47 	Profit and Loss Account	Expenses	Other Expenses	Commission Expenses	Expenses
Fixed Fees-Jio Mart	 2,440.08 	 -   	 2,440.08 	Profit and Loss Account	Expenses	Other Expenses	Online selling expenses	Expenses
JIO MART -Shipping Fee	 -   	 185.00 	 -185.00 	Profit and Loss Account	Expenses	Other Expenses	Online selling expenses	Expenses
Logistics Expense-Jio Mart	 12,014.00 	 -   	 12,014.00 	Profit and Loss Account	Expenses	Other Expenses	Online selling expenses	Expenses
Labour Administration Charges	 13,530.00 	 -   	 13,530.00 	Profit and Loss Account	Current Liablities	Other Current Liabilities	Labour Charges	Expenses
Labour Charges - WH Muzaffarnagar	 4,800,500.00 	 -   	 4,800,500.00 	Profit and Loss Account	Current Liablities	Other Current Liabilities	Labour Charges	Expenses
Labour Charges- WH Noida	 228,123.00 	 -   	 228,123.00 	Profit and Loss Account	Current Liablities	Other Current Liabilities	Labour Charges	Expenses
Labour Charges-WHB	 3,423,738.00 	 -   	 3,423,738.00 	Profit and Loss Account	Current Liablities	Other Current Liabilities	Labour Charges	Expenses
Labour Employee PF Expense	 199,291.50 	 -   	 199,291.50 	Profit and Loss Account	Current Liablities	Other Current Liabilities	Labour Charges	Expenses
Labour Employer PF Expense	 199,291.50 	 -   	 199,291.50 	Profit and Loss Account	Current Liablities	Other Current Liabilities	Labour Charges	Expenses
Labour ESI Expense	 108,791.00 	 -   	 108,791.00 	Profit and Loss Account	Current Liablities	Other Current Liabilities	Labour Charges	Expenses
Lease rent virtual offices	 65,956.81 	 -   	 65,956.81 	Profit and Loss Account	Expenses	Other Expenses	Lease Expenses - Building, Warehouse	Expenses
Lease Rent WH Bangalore New	 786,500.00 	 -   	 786,500.00 	Profit and Loss Account	Expenses	Other Expenses	Lease Expenses - Building, Warehouse	Expenses
Lease Rent- Generator	 120,000.00 	 -   	 120,000.00 	Profit and Loss Account	Expenses	Other Expenses	Lease Expenses - P/M	Expenses
Lease Rent- WH Muzaffarnagar	 1,782,000.00 	 -   	 1,782,000.00 	Profit and Loss Account	Expenses	Other Expenses	Lease Expenses - Building, Warehouse	Expenses
Lease Rent-Noida	 4,538,692.76 	 -   	 4,538,692.76 	Profit and Loss Account	Expenses	Other Expenses	Lease Expenses - Building, Warehouse	Expenses
Lease Rent-WH Bangalore	 2,507,000.00 	 -   	 2,507,000.00 	Profit and Loss Account	Expenses	Other Expenses	Lease Expenses - Building, Warehouse	Expenses
Lease Rent-WH Noida	 1,015,000.00 	 -   	 1,015,000.00 	Profit and Loss Account	Expenses	Other Expenses	Lease Expenses - Building, Warehouse	Expenses
Legal & Prefessional Fees	 5,703,361.80 	 -   	 5,703,361.80 	Profit and Loss Account	Expenses	Other Expenses	Legal and Professional Expenses	Expenses
Maintenance Charges-Advant	 1,502,274.00 	 -   	 1,502,274.00 	Profit and Loss Account	Expenses	Other Expenses	Office Running & Maintainance Epenses	Expenses
Material Insurance	 5,445.26 	 -   	 5,445.26 	Profit and Loss Account	Expenses	Other Expenses	General Expenses	Expenses
Material Purchase	 1,626,465.00 	 -   	 1,626,465.00 	Profit and Loss Account	Expenses	Purchase of Stock in Trade	Purchases	Expenses
Misc..Exp	 17,170.50 	 -   	 17,170.50 	Profit and Loss Account	Expenses	Other Expenses	General Expenses	Expenses
Office Exp	 12,892.00 	 -   	 12,892.00 	Profit and Loss Account	Expenses	Other Expenses	Office Running & Maintainance Epenses	Expenses
Other Expenses	 7.60 	 -   	 7.60 	Profit and Loss Account	Expenses	Other Expenses	General Expenses	Expenses
Penalty and Interest	 21,720.00 	 -   	 21,720.00 	Profit and Loss Account	Expenses	Other Expenses	Penalty and Interest	Expenses
Printing and Stationery	 54,732.83 	 -   	 54,732.83 	Profit and Loss Account	Expenses	Other Expenses	Printing and Stationery	Expenses
Provident Fund Interest	 14,754.00 	 -   	 14,754.00 	Profit and Loss Account	Expenses	Other Expenses	Interest on Statutory dues	Expenses
Purchase Discounts	 -   	 141,444.30 	 -141,444.30 	Profit and Loss Account	Expenses	Purchase of Stock in Trade	Purchases	Expenses
Raw Materials And Consumables	 17,389,381.99 	 -   	 17,389,381.99 	Profit and Loss Account	Expenses	Cost Of Materials Consumed	Consumables	Expenses
Recruitment Charges	 37,500.00 	 -   	 37,500.00 	Profit and Loss Account	Expenses	Other Expenses	Recruitment Charges	Expenses
Repair & Maintenance - Computer	 27,879.00 	 -   	 27,879.00 	Profit and Loss Account	Expenses	Other Expenses	Repair and Maintenance	Expenses
Repair & Maintenance HO	 23,204.29 	 -   	 23,204.29 	Profit and Loss Account	Expenses	Other Expenses	Repair and Maintenance	Expenses
Repair & Maintenance WH Bangalore	 65,897.00 	 -   	 65,897.00 	Profit and Loss Account	Expenses	Other Expenses	Repair and Maintenance	Expenses
Repair & Maintenance WH Muzafarnagar	 1,722,163.89 	 -   	 1,722,163.89 	Profit and Loss Account	Expenses	Other Expenses	Repair and Maintenance	Expenses
Repair & Maintenance WH Noida	 63,930.00 	 -   	 63,930.00 	Profit and Loss Account	Expenses	Other Expenses	Repair and Maintenance	Expenses
Vehicle Repair & Maintenance	 13,547.53 	 -   	 13,547.53 	Profit and Loss Account	Expenses	Other Expenses	Repair and Maintenance	Expenses
Round Off	 1.00 	 -   	 1.00 	Profit and Loss Account	Expenses	Other Expenses	General Expenses	Expenses
Salary	 72,363,131.00 	 -   	 72,363,131.00 	Profit and Loss Account	Expenses	Employee Benefit Expenses	Salary	Expenses
Employee PF Expense	 2,366,056.00 	 -   	 2,366,056.00 	Profit and Loss Account	Expenses	Employee Benefit Expenses	Salary	Expenses
Employer PF- Expenses	 2,366,056.00 	 -   	 2,366,056.00 	Profit and Loss Account	Expenses	Employee Benefit Expenses	Salary	Expenses
ESI Expense	 25,622.00 	 -   	 25,622.00 	Profit and Loss Account	Expenses	Employee Benefit Expenses	Salary	Expenses
Stipend	 553,844.75 	 -   	 553,844.75 	Profit and Loss Account	Expenses	Other Expenses	General Expenses	Expenses
Security Services -WHM	 160,601.00 	 -   	 160,601.00 	Profit and Loss Account	Expenses	Other Expenses	General Expenses	Expenses
Service Commission	 307,689.36 	 -   	 307,689.36 	Profit and Loss Account	Expenses	Purchase of Stock in Trade	Purchases	Expenses
Software Exp	 418,334.56 	 -   	 418,334.56 	Profit and Loss Account	Expenses	Other Expenses	Software Expenses	Expenses
Staff Welfare	 1,363,118.49 	 -   	 1,363,118.49 	Profit and Loss Account	Expenses	Employee Benefit Expenses	Staff Welfare Expenses	Expenses
Subscription Fees	 44,457.00 	 -   	 44,457.00 	Profit and Loss Account	Expenses	Other Expenses	General Expenses	Expenses
Tax Paid Expense	 195,474.20 	 -   	 195,474.20 	Profit and Loss Account	Expenses	Other Expenses	General Expenses	Expenses
Telephone Expense	 41,858.39 	 -   	 41,858.39 	Profit and Loss Account	Expenses	Other Expenses	IT & Telecommunicaiton Expenses	Expenses
TPL Warehouse Expenses	 785,067.00 	 -   	 785,067.00 	Profit and Loss Account	Expenses	Other Expenses	TPL Warehouse Expenses	Expenses
Transport Charges- Top India Logistics	 48,800.00 	 -   	 48,800.00 	Profit and Loss Account	Expenses	Other Expenses	Freight Outward	Expenses
Travel Expense -HO	 2,097,710.03 	 -   	 2,097,710.03 	Profit and Loss Account	Expenses	Other Expenses	Tour and Travelling Expesnes	Expenses
Travel Expense -WHB	 20,918.00 	 -   	 20,918.00 	Profit and Loss Account	Expenses	Other Expenses	Tour and Travelling Expesnes	Expenses
Travel Expense -WHM	 10,500.00 	 -   	 10,500.00 	Profit and Loss Account	Expenses	Other Expenses	Tour and Travelling Expesnes	Expenses
Travel Expense WH Noida	 820,844.00 	 -   	 820,844.00 	Profit and Loss Account	Expenses	Other Expenses	Tour and Travelling Expesnes	Expenses
Vehicle Insurance	 8,224.95 	 -   	 8,224.95 	Profit and Loss Account	Expenses	Other Expenses	Office Running & Maintainance Epenses	Expenses
Water Charges	 73,995.00 	 -   	 73,995.00 	Profit and Loss Account	Expenses	Other Expenses	Water Charges	Expenses
Website Development	 458,500.00 	 -   	 458,500.00 	Profit and Loss Account	Expenses	Other Expenses	IT & Telecommunicaiton Expenses	Expenses
Opening Stock 	 16,550,775.00 	 -   	 16,550,775.00 	Profit and Loss Account	Expenses	Change In Invetories	Inventory - Opening	Expenses
Closing Stock	 -   	 41,418,510.00 	 -41,418,510.00 	Profit and Loss Account	Expenses	Change In Invetories	Inventory - Closing	Expenses
